TTOO,CREATED_SUNDAY,CREATED_SUNDAY_CANCEL_1_HOUR,CREATED_SUNDAY_CANCEL_24_HOUR,CREATED_MONDAY,CREATED_MONDAY_CANCEL_1_HOUR,CREATED_MONDAY_CANCEL_24_HOUR,CREATED_TUESDAY,CREATED_TUEDAY_CANCEL_1_HOUR,CREATED_TUSDAY_CANCEL_24_HOUR,CREATED_WEDNESDAY,CREATED_WEDNES_CANCEL_1_HOUR,CREATED_WEDNES_CANCEL_24_HOUR,CREATED_THURSDAY,CREATED_THURSDAY_CANCEL_1_HOUR,CREATED_THURS_CANCEL_24_HOUR,CREATED_FRIDAY,CREATED_FRIDAY_CANCEL_1_HOUR,CREATED_FRIDAY_CANCEL_24_HOUR,CREATED_SATURDAY,CREATED_SATURDAY_CANCEL_1_HOUR,CREATED_SATUR_CANCEL_24_HOUR
2867,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2918,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2924,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
2926,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2941,2,0,0,8,0,0,7,0,0,6,0,0,9,0,0,1,0,0,0,0,0
2976,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2979,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3005,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3010,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
3020,0,0,0,1,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3026,0,0,0,0,0,0,3,0,1,2,0,1,1,0,0,0,0,0,0,0,0
3033,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3069,1,0,0,7,0,1,6,1,3,7,0,0,3,0,0,8,0,0,1,0,0
3083,16,1,1,54,1,5,69,1,7,53,0,2,40,0,2,57,3,5,24,0,2
3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
3095,0,0,0,1,0,0,0,0,0,5,1,1,0,0,0,5,0,1,12,0,0
3106,0,0,0,3,0,0,1,1,1,3,0,0,4,0,0,9,0,0,0,0,0
3117,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3156,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3184,0,0,0,28,1,2,29,0,1,22,1,2,31,1,2,16,0,0,0,0,0
3189,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3195,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3247,142,1,9,248,17,29,264,14,28,255,14,31,245,12,31,221,8,17,182,7,10
3249,0,0,0,8,0,2,9,1,1,3,0,0,6,0,0,0,0,0,1,0,0
3252,2,1,1,0,0,0,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0
3253,30,1,3,77,5,8,63,3,5,64,4,7,80,3,5,29,1,1,53,4,6
3262,4,0,0,9,0,0,6,1,1,6,2,2,4,0,0,8,1,1,4,0,0
3276,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3288,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3327,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3337,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
3354,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
3376,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3411,0,0,0,2,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3432,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0
3434,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3446,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3462,0,0,0,2,0,0,3,0,0,1,0,1,2,0,0,5,1,1,0,0,0
3486,1,0,0,9,1,1,5,0,0,6,0,0,4,0,0,7,0,0,2,0,0
3491,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3523,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3537,0,0,0,0,0,0,0,0,0,2,0,0,4,1,1,0,0,0,1,0,0
3539,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3545,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3558,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,2,0,0,0,0,0
3568,0,0,0,10,1,1,4,0,1,5,0,0,4,0,0,4,0,0,4,0,0
3583,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3610,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3646,8,2,2,50,3,5,47,3,7,53,5,7,47,3,6,41,1,4,9,1,2
3648,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3652,0,0,0,14,1,2,4,0,0,5,0,0,3,0,0,1,0,0,3,0,0
3659,0,0,0,1,0,0,1,0,0,6,0,0,2,0,0,1,0,0,2,0,0
3692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3750,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
3754,0,0,0,4,1,1,0,0,0,3,0,0,2,0,0,2,0,0,1,0,0
3807,45,4,4,73,2,7,32,0,2,26,1,3,53,3,4,9,3,3,0,0,0
3847,58,0,1,37,0,0,51,0,0,44,0,0,51,2,3,55,1,1,50,3,3
3872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3874,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
3886,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3977,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
4026,0,0,0,1,0,0,2,0,0,3,1,1,1,0,0,1,0,0,1,0,0
4035,88,4,5,340,6,24,363,18,34,438,19,39,362,9,23,284,5,12,198,9,10
